Event Type,Code,Type,Response,RT,RT Uncertainty,Time,Uncertainty,Duration,Uncertainty,ReqTime,ReqDur
Picture,1_RW_HighFRW_HF1_feliz.png,hit,1,6033,2,227207,1,6113,2,0,17000
Picture,2_PWPW_LF1_lucro.png,hit,2,5468,3,238331,1,5512,2,0,17000
Picture,3_RW_HighFRW_HF1_ruido.png,hit,1,5425,2,248854,1,5511,2,0,17000
Picture,4_RW_LowFRW_LF1_colmo.png,hit,1,6183,3,259376,1,6314,2,0,17000
Picture,5_RW_LowFRW_LF1_ranura.png,hit,1,5999,2,270600,1,6113,2,0,17000
Picture,6_PWPW_LF1_vasija.png,hit,2,7535,2,281624,1,7616,2,0,17000
Picture,8_CSCS_LF1_cuenco.png,incorrect,1,6348,2,294251,1,6414,2,0,17000
Picture,9_RW_LowFRW_LF1_buey.png,hit,1,5164,2,305675,1,5211,2,0,17000
Picture,10_PWPW_HF1_chica.png,hit,2,8302,2,315897,1,8418,2,0,17000
Picture,11_CSCS_HF1_unidad.png,hit,2,5452,3,329226,1,5511,3,0,17000
Picture,12_RW_LowFRW_LF1_vaciar.png,hit,1,6370,3,339748,1,6414,2,0,17000
Picture,13_RW_HighFRW_HF1_unidad.png,hit,1,6225,2,351173,1,6313,2,0,17000
Picture,14_CSCS_HF1_saber.png,hit,2,5781,3,362497,1,5913,2,0,17000
Picture,15_PWPW_LF1_pavor.png,hit,2,7758,2,373320,1,7817,2,0,17000
Picture,16_PWPW_HF1_siente.png,hit,2,6210,2,386148,1,6313,2,0,17000
Picture,17_RW_LowFRW_LF1_chivo.png,incorrect,2,5786,2,397372,1,5912,2,0,17000
Picture,19_PWPW_LF1_peine.png,hit,2,8003,2,408195,1,8117,2,0,17000
Picture,20_RW_LowFRW_LF1_desvan.png,hit,1,6175,2,421223,1,6213,2,0,17000
Picture,21_PWPW_HF1_leche.png,hit,2,7350,3,432447,1,7416,2,0,17000
Picture,22_PWPW_LF1_juncos.png,incorrect,1,6604,2,444873,1,6715,2,0,17000
Picture,23_PWPW_HF1_lluvia.png,hit,2,7859,2,456498,1,7917,2,0,17000
Picture,24_RW_LowFRW_LF1_quicio.png,hit,1,8371,2,469426,1,8418,2,0,17000
Picture,25_RW_HighFRW_HF1_caer.png,hit,1,6782,2,482855,1,6814,2,0,17000
Picture,26_CSCS_LF1_lienzo.png,hit,2,6957,2,494680,1,7015,2,0,17000
Picture,27_CSCS_LF1_butaca.png,hit,2,5331,2,506706,1,5411,2,0,17000
Picture,29_PWPW_LF1_cordon.png,hit,2,8189,2,517128,1,8318,2,0,17000
Picture,30_CSCS_HF1_color.png,hit,2,4800,3,530356,1,4911,2,0,17000
Picture,32_RW_LowFRW_LF1_copos.png,hit,1,7219,2,540177,1,7316,2,0,17000
